x,y,z,field
-0.75,-0.75,-30.0,-0.015
-0.75,-0.375,-30.0,-0.014
-0.75,0.0,-30.0,-0.013
-0.75,0.375,-30.0,-0.01
-0.75,0.75,-30.0,-0.01
-0.375,-0.75,-30.0,-0.014
-0.375,-0.375,-30.0,-0.014
-0.375,0.0,-30.0,-0.013
-0.375,0.375,-30.0,-0.01
-0.375,0.75,-30.0,-0.01
0.0,-0.75,-30.0,-0.014
0.0,-0.375,-30.0,-0.014
0.0,0.0,-30.0,-0.013
0.0,0.375,-30.0,-0.01
0.0,0.75,-30.0,-0.009
0.375,-0.75,-30.0,-0.014
0.375,-0.375,-30.0,-0.014
0.375,0.0,-30.0,-0.013
0.375,0.375,-30.0,-0.01
0.375,0.75,-30.0,-0.01
0.75,-0.75,-30.0,-0.015
0.75,-0.375,-30.0,-0.014
0.75,0.0,-30.0,-0.013
0.75,0.375,-30.0,-0.01
0.75,0.75,-30.0,-0.01
-0.75,-0.75,-28.5,-0.015
-0.75,-0.375,-28.5,-0.014
-0.75,0.0,-28.5,-0.013
-0.75,0.375,-28.5,-0.01
-0.75,0.75,-28.5,-0.01
-0.375,-0.75,-28.5,-0.015
-0.375,-0.375,-28.5,-0.014
-0.375,0.0,-28.5,-0.013
-0.375,0.375,-28.5,-0.01
-0.375,0.75,-28.5,-0.009
0.0,-0.75,-28.5,-0.015
0.0,-0.375,-28.5,-0.014
0.0,0.0,-28.5,-0.013
0.0,0.375,-28.5,-0.01
0.0,0.75,-28.5,-0.009
0.375,-0.75,-28.5,-0.015
0.375,-0.375,-28.5,-0.014
0.375,0.0,-28.5,-0.013
0.375,0.375,-28.5,-0.01
0.375,0.75,-28.5,-0.009
0.75,-0.75,-28.5,-0.015
0.75,-0.375,-28.5,-0.014
0.75,0.0,-28.5,-0.013
0.75,0.375,-28.5,-0.01
0.75,0.75,-28.5,-0.01
-0.75,-0.75,-27.0,-0.015
-0.75,-0.375,-27.0,-0.014
-0.75,0.0,-27.0,-0.013
-0.75,0.375,-27.0,-0.01
-0.75,0.75,-27.0,-0.009
-0.375,-0.75,-27.0,-0.015
-0.375,-0.375,-27.0,-0.014
-0.375,0.0,-27.0,-0.013
-0.375,0.375,-27.0,-0.01
-0.375,0.75,-27.0,-0.009
0.0,-0.75,-27.0,-0.015
0.0,-0.375,-27.0,-0.014
0.0,0.0,-27.0,-0.013
0.0,0.375,-27.0,-0.01
0.0,0.75,-27.0,-0.009
0.375,-0.75,-27.0,-0.015
0.375,-0.375,-27.0,-0.014
0.375,0.0,-27.0,-0.013
0.375,0.375,-27.0,-0.01
0.375,0.75,-27.0,-0.009
0.75,-0.75,-27.0,-0.015
0.75,-0.375,-27.0,-0.014
0.75,0.0,-27.0,-0.013
0.75,0.375,-27.0,-0.01
0.75,0.75,-27.0,-0.009
-0.75,-0.75,-25.5,-0.016
-0.75,-0.375,-25.5,-0.015
-0.75,0.0,-25.5,-0.013
-0.75,0.375,-25.5,-0.01
-0.75,0.75,-25.5,-0.009
-0.375,-0.75,-25.5,-0.016
-0.375,-0.375,-25.5,-0.014
-0.375,0.0,-25.5,-0.013
-0.375,0.375,-25.5,-0.01
-0.375,0.75,-25.5,-0.009
0.0,-0.75,-25.5,-0.016
0.0,-0.375,-25.5,-0.014
0.0,0.0,-25.5,-0.013
0.0,0.375,-25.5,-0.01
0.0,0.75,-25.5,-0.009
0.375,-0.75,-25.5,-0.016
0.375,-0.375,-25.5,-0.014
0.375,0.0,-25.5,-0.013
0.375,0.375,-25.5,-0.01
0.375,0.75,-25.5,-0.009
0.75,-0.75,-25.5,-0.016
0.75,-0.375,-25.5,-0.015
0.75,0.0,-25.5,-0.013
0.75,0.375,-25.5,-0.01
0.75,0.75,-25.5,-0.009
-0.75,-0.75,-24.0,-0.018
-0.75,-0.375,-24.0,-0.015
-0.75,0.0,-24.0,-0.014
-0.75,0.375,-24.0,-0.01
-0.75,0.75,-24.0,-0.008
-0.375,-0.75,-24.0,-0.016
-0.375,-0.375,-24.0,-0.015
-0.375,0.0,-24.0,-0.013
-0.375,0.375,-24.0,-0.01
-0.375,0.75,-24.0,-0.008
0.0,-0.75,-24.0,-0.016
0.0,-0.375,-24.0,-0.015
0.0,0.0,-24.0,-0.013
0.0,0.375,-24.0,-0.01
0.0,0.75,-24.0,-0.008
0.375,-0.75,-24.0,-0.016
0.375,-0.375,-24.0,-0.015
0.375,0.0,-24.0,-0.013
0.375,0.375,-24.0,-0.01
0.375,0.75,-24.0,-0.008
0.75,-0.75,-24.0,-0.018
0.75,-0.375,-24.0,-0.015
0.75,0.0,-24.0,-0.014
0.75,0.375,-24.0,-0.01
0.75,0.75,-24.0,-0.008
-0.75,-0.75,-22.5,-0.019
-0.75,-0.375,-22.5,-0.016
-0.75,0.0,-22.5,-0.014
-0.75,0.375,-22.5,-0.01
-0.75,0.75,-22.5,-0.008
-0.375,-0.75,-22.5,-0.018
-0.375,-0.375,-22.5,-0.015
-0.375,0.0,-22.5,-0.013
-0.375,0.375,-22.5,-0.009
-0.375,0.75,-22.5,-0.007
0.0,-0.75,-22.5,-0.018
0.0,-0.375,-22.5,-0.015
0.0,0.0,-22.5,-0.013
0.0,0.375,-22.5,-0.009
0.0,0.75,-22.5,-0.007
0.375,-0.75,-22.5,-0.018
0.375,-0.375,-22.5,-0.015
0.375,0.0,-22.5,-0.013
0.375,0.375,-22.5,-0.009
0.375,0.75,-22.5,-0.007
0.75,-0.75,-22.5,-0.019
0.75,-0.375,-22.5,-0.016
0.75,0.0,-22.5,-0.014
0.75,0.375,-22.5,-0.01
0.75,0.75,-22.5,-0.008
-0.75,-0.75,-21.0,-0.021
-0.75,-0.375,-21.0,-0.018
-0.75,0.0,-21.0,-0.014
-0.75,0.375,-21.0,-0.009
-0.75,0.75,-21.0,-0.007
-0.375,-0.75,-21.0,-0.02
-0.375,-0.375,-21.0,-0.016
-0.375,0.0,-21.0,-0.013
-0.375,0.375,-21.0,-0.009
-0.375,0.75,-21.0,-0.005
0.0,-0.75,-21.0,-0.02
0.0,-0.375,-21.0,-0.016
0.0,0.0,-21.0,-0.013
0.0,0.375,-21.0,-0.008
0.0,0.75,-21.0,-0.005
0.375,-0.75,-21.0,-0.02
0.375,-0.375,-21.0,-0.016
0.375,0.0,-21.0,-0.013
0.375,0.375,-21.0,-0.009
0.375,0.75,-21.0,-0.005
0.75,-0.75,-21.0,-0.02
0.75,-0.375,-21.0,-0.018
0.75,0.0,-21.0,-0.014
0.75,0.375,-21.0,-0.009
0.75,0.75,-21.0,-0.007
-0.75,-0.75,-19.5,-0.024
-0.75,-0.375,-19.5,-0.02
-0.75,0.0,-19.5,-0.015
-0.75,0.375,-19.5,-0.009
-0.75,0.75,-19.5,-0.004
-0.375,-0.75,-19.5,-0.024
-0.375,-0.375,-19.5,-0.019
-0.375,0.0,-19.5,-0.014
-0.375,0.375,-19.5,-0.008
-0.375,0.75,-19.5,-0.003
0.0,-0.75,-19.5,-0.023
0.0,-0.375,-19.5,-0.018
0.0,0.0,-19.5,-0.013
0.0,0.375,-19.5,-0.007
0.0,0.75,-19.5,-0.002
0.375,-0.75,-19.5,-0.023
0.375,-0.375,-19.5,-0.018
0.375,0.0,-19.5,-0.014
0.375,0.375,-19.5,-0.008
0.375,0.75,-19.5,-0.003
0.75,-0.75,-19.5,-0.024
0.75,-0.375,-19.5,-0.019
0.75,0.0,-19.5,-0.015
0.75,0.375,-19.5,-0.009
0.75,0.75,-19.5,-0.004
-0.75,-0.75,-18.0,-0.03
-0.75,-0.375,-18.0,-0.023
-0.75,0.0,-18.0,-0.015
-0.75,0.375,-18.0,-0.008
-0.75,0.75,-18.0,0.0
-0.375,-0.75,-18.0,-0.029
-0.375,-0.375,-18.0,-0.021
-0.375,0.0,-18.0,-0.014
-0.375,0.375,-18.0,-0.005
-0.375,0.75,-18.0,0.002
0.0,-0.75,-18.0,-0.028
0.0,-0.375,-18.0,-0.02
0.0,0.0,-18.0,-0.014
0.0,0.375,-18.0,-0.005
0.0,0.75,-18.0,0.002
0.375,-0.75,-18.0,-0.028
0.375,-0.375,-18.0,-0.021
0.375,0.0,-18.0,-0.014
0.375,0.375,-18.0,-0.005
0.375,0.75,-18.0,0.002
0.75,-0.75,-18.0,-0.029
0.75,-0.375,-18.0,-0.023
0.75,0.0,-18.0,-0.015
0.75,0.375,-18.0,-0.008
0.75,0.75,-18.0,0.0
-0.75,-0.75,-16.5,-0.039
-0.75,-0.375,-16.5,-0.029
-0.75,0.0,-16.5,-0.018
-0.75,0.375,-16.5,-0.005
-0.75,0.75,-16.5,0.006
-0.375,-0.75,-16.5,-0.036
-0.375,-0.375,-16.5,-0.025
-0.375,0.0,-16.5,-0.014
-0.375,0.375,-16.5,-0.002
-0.375,0.75,-16.5,0.009
0.0,-0.75,-16.5,-0.036
0.0,-0.375,-16.5,-0.025
0.0,0.0,-16.5,-0.014
0.0,0.375,-16.5,-0.002
0.0,0.75,-16.5,0.009
0.375,-0.75,-16.5,-0.036
0.375,-0.375,-16.5,-0.025
0.375,0.0,-16.5,-0.014
0.375,0.375,-16.5,-0.002
0.375,0.75,-16.5,0.009
0.75,-0.75,-16.5,-0.038
0.75,-0.375,-16.5,-0.028
0.75,0.0,-16.5,-0.016
0.75,0.375,-16.5,-0.005
0.75,0.75,-16.5,0.006
-0.75,-0.75,-15.0,-0.054
-0.75,-0.375,-15.0,-0.036
-0.75,0.0,-15.0,-0.019
-0.75,0.375,-15.0,0.0
-0.75,0.75,-15.0,0.017
-0.375,-0.75,-15.0,-0.05
-0.375,-0.375,-15.0,-0.033
-0.375,0.0,-15.0,-0.015
-0.375,0.375,-15.0,0.004
-0.375,0.75,-15.0,0.022
0.0,-0.75,-15.0,-0.049
0.0,-0.375,-15.0,-0.031
0.0,0.0,-15.0,-0.014
0.0,0.375,-15.0,0.004
0.0,0.75,-15.0,0.023
0.375,-0.75,-15.0,-0.05
0.375,-0.375,-15.0,-0.033
0.375,0.0,-15.0,-0.015
0.375,0.375,-15.0,0.003
0.375,0.75,-15.0,0.021
0.75,-0.75,-15.0,-0.054
0.75,-0.375,-15.0,-0.036
0.75,0.0,-15.0,-0.019
0.75,0.375,-15.0,-0.002
0.75,0.75,-15.0,0.016
-0.75,-0.75,-13.5,-0.075
-0.75,-0.375,-13.5,-0.049
-0.75,0.0,-13.5,-0.021
-0.75,0.375,-13.5,0.006
-0.75,0.75,-13.5,0.032
-0.375,-0.75,-13.5,-0.069
-0.375,-0.375,-13.5,-0.041
-0.375,0.0,-13.5,-0.015
-0.375,0.375,-13.5,0.013
-0.375,0.75,-13.5,0.039
0.0,-0.75,-13.5,-0.067
0.0,-0.375,-13.5,-0.04
0.0,0.0,-13.5,-0.014
0.0,0.375,-13.5,0.014
0.0,0.75,-13.5,0.041
0.375,-0.75,-13.5,-0.069
0.375,-0.375,-13.5,-0.043
0.375,0.0,-13.5,-0.016
0.375,0.375,-13.5,0.012
0.375,0.75,-13.5,0.038
0.75,-0.75,-13.5,-0.075
0.75,-0.375,-13.5,-0.049
0.75,0.0,-13.5,-0.023
0.75,0.375,-13.5,0.004
0.75,0.75,-13.5,0.031
-0.75,-0.75,-12.0,-0.095
-0.75,-0.375,-12.0,-0.059
-0.75,0.0,-12.0,-0.024
-0.75,0.375,-12.0,0.013
-0.75,0.75,-12.0,0.049
-0.375,-0.75,-12.0,-0.086
-0.375,-0.375,-12.0,-0.05
-0.375,0.0,-12.0,-0.015
-0.375,0.375,-12.0,0.022
-0.375,0.75,-12.0,0.058
0.0,-0.75,-12.0,-0.085
0.0,-0.375,-12.0,-0.049
0.0,0.0,-12.0,-0.013
0.0,0.375,-12.0,0.023
0.0,0.75,-12.0,0.059
0.375,-0.75,-12.0,-0.089
0.375,-0.375,-12.0,-0.053
0.375,0.0,-12.0,-0.016
0.375,0.375,-12.0,0.021
0.375,0.75,-12.0,0.055
0.75,-0.75,-12.0,-0.099
0.75,-0.375,-12.0,-0.062
0.75,0.0,-12.0,-0.026
0.75,0.375,-12.0,0.009
0.75,0.75,-12.0,0.046
-0.75,-0.75,-10.5,-0.107
-0.75,-0.375,-10.5,-0.066
-0.75,0.0,-10.5,-0.024
-0.75,0.375,-10.5,0.018
-0.75,0.75,-10.5,0.059
-0.375,-0.75,-10.5,-0.097
-0.375,-0.375,-10.5,-0.055
-0.375,0.0,-10.5,-0.014
-0.375,0.375,-10.5,0.028
-0.375,0.75,-10.5,0.07
0.0,-0.75,-10.5,-0.096
0.0,-0.375,-10.5,-0.054
0.0,0.0,-10.5,-0.013
0.0,0.375,-10.5,0.031
0.0,0.75,-10.5,0.072
0.375,-0.75,-10.5,-0.1
0.375,-0.375,-10.5,-0.057
0.375,0.0,-10.5,-0.015
0.375,0.375,-10.5,0.027
0.375,0.75,-10.5,0.068
0.75,-0.75,-10.5,-0.112
0.75,-0.375,-10.5,-0.07
0.75,0.0,-10.5,-0.029
0.75,0.375,-10.5,0.014
0.75,0.75,-10.5,0.055
-0.75,-0.75,-9.0,-0.112
-0.75,-0.375,-9.0,-0.069
-0.75,0.0,-9.0,-0.024
-0.75,0.375,-9.0,0.021
-0.75,0.75,-9.0,0.064
-0.375,-0.75,-9.0,-0.101
-0.375,-0.375,-9.0,-0.057
-0.375,0.0,-9.0,-0.013
-0.375,0.375,-9.0,0.032
-0.375,0.75,-9.0,0.075
0.0,-0.75,-9.0,-0.1
0.0,-0.375,-9.0,-0.055
0.0,0.0,-9.0,-0.01
0.0,0.375,-9.0,0.033
0.0,0.75,-9.0,0.077
0.375,-0.75,-9.0,-0.104
0.375,-0.375,-9.0,-0.059
0.375,0.0,-9.0,-0.015
0.375,0.375,-9.0,0.029
0.375,0.75,-9.0,0.073
0.75,-0.75,-9.0,-0.117
0.75,-0.375,-9.0,-0.072
0.75,0.0,-9.0,-0.029
0.75,0.375,-9.0,0.016
0.75,0.75,-9.0,0.059
-0.75,-0.75,-7.5,-0.113
-0.75,-0.375,-7.5,-0.069
-0.75,0.0,-7.5,-0.024
-0.75,0.375,-7.5,0.021
-0.75,0.75,-7.5,0.065
-0.375,-0.75,-7.5,-0.102
-0.375,-0.375,-7.5,-0.057
-0.375,0.0,-7.5,-0.013
-0.375,0.375,-7.5,0.033
-0.375,0.75,-7.5,0.077
0.0,-0.75,-7.5,-0.101
0.0,-0.375,-7.5,-0.055
0.0,0.0,-7.5,-0.009
0.0,0.375,-7.5,0.034
0.0,0.75,-7.5,0.079
0.375,-0.75,-7.5,-0.104
0.375,-0.375,-7.5,-0.059
0.375,0.0,-7.5,-0.014
0.375,0.375,-7.5,0.031
0.375,0.75,-7.5,0.075
0.75,-0.75,-7.5,-0.118
0.75,-0.375,-7.5,-0.074
0.75,0.0,-7.5,-0.029
0.75,0.375,-7.5,0.017
0.75,0.75,-7.5,0.062
-0.75,-0.75,-6.0,-0.113
-0.75,-0.375,-6.0,-0.069
-0.75,0.0,-6.0,-0.024
-0.75,0.375,-6.0,0.022
-0.75,0.75,-6.0,0.067
-0.375,-0.75,-6.0,-0.102
-0.375,-0.375,-6.0,-0.057
-0.375,0.0,-6.0,-0.01
-0.375,0.375,-6.0,0.033
-0.375,0.75,-6.0,0.078
0.0,-0.75,-6.0,-0.1
0.0,-0.375,-6.0,-0.055
0.0,0.0,-6.0,-0.009
0.0,0.375,-6.0,0.036
0.0,0.75,-6.0,0.08
0.375,-0.75,-6.0,-0.104
0.375,-0.375,-6.0,-0.059
0.375,0.0,-6.0,-0.014
0.375,0.375,-6.0,0.032
0.375,0.75,-6.0,0.077
0.75,-0.75,-6.0,-0.118
0.75,-0.375,-6.0,-0.072
0.75,0.0,-6.0,-0.028
0.75,0.375,-6.0,0.018
0.75,0.75,-6.0,0.062
-0.75,-0.75,-4.5,-0.113
-0.75,-0.375,-4.5,-0.069
-0.75,0.0,-4.5,-0.023
-0.75,0.375,-4.5,0.023
-0.75,0.75,-4.5,0.067
-0.375,-0.75,-4.5,-0.102
-0.375,-0.375,-4.5,-0.056
-0.375,0.0,-4.5,-0.01
-0.375,0.375,-4.5,0.034
-0.375,0.75,-4.5,0.079
0.0,-0.75,-4.5,-0.1
0.0,-0.375,-4.5,-0.055
0.0,0.0,-4.5,-0.008
0.0,0.375,-4.5,0.036
0.0,0.75,-4.5,0.08
0.375,-0.75,-4.5,-0.104
0.375,-0.375,-4.5,-0.057
0.375,0.0,-4.5,-0.013
0.375,0.375,-4.5,0.033
0.375,0.75,-4.5,0.078
0.75,-0.75,-4.5,-0.117
0.75,-0.375,-4.5,-0.072
0.75,0.0,-4.5,-0.028
0.75,0.375,-4.5,0.018
0.75,0.75,-4.5,0.063
-0.75,-0.75,-3.0,-0.113
-0.75,-0.375,-3.0,-0.067
-0.75,0.0,-3.0,-0.023
-0.75,0.375,-3.0,0.023
-0.75,0.75,-3.0,0.068
-0.375,-0.75,-3.0,-0.101
-0.375,-0.375,-3.0,-0.056
-0.375,0.0,-3.0,-0.01
-0.375,0.375,-3.0,0.034
-0.375,0.75,-3.0,0.079
0.0,-0.75,-3.0,-0.1
0.0,-0.375,-3.0,-0.054
0.0,0.0,-3.0,-0.008
0.0,0.375,-3.0,0.037
0.0,0.75,-3.0,0.082
0.375,-0.75,-3.0,-0.102
0.375,-0.375,-3.0,-0.057
0.375,0.0,-3.0,-0.013
0.375,0.375,-3.0,0.033
0.375,0.75,-3.0,0.078
0.75,-0.75,-3.0,-0.117
0.75,-0.375,-3.0,-0.072
0.75,0.0,-3.0,-0.028
0.75,0.375,-3.0,0.018
0.75,0.75,-3.0,0.063
-0.75,-0.75,-1.5,-0.113
-0.75,-0.375,-1.5,-0.067
-0.75,0.0,-1.5,-0.023
-0.75,0.375,-1.5,0.023
-0.75,0.75,-1.5,0.068
-0.375,-0.75,-1.5,-0.101
-0.375,-0.375,-1.5,-0.055
-0.375,0.0,-1.5,-0.009
-0.375,0.375,-1.5,0.036
-0.375,0.75,-1.5,0.08
0.0,-0.75,-1.5,-0.099
0.0,-0.375,-1.5,-0.054
0.0,0.0,-1.5,-0.008
0.0,0.375,-1.5,0.037
0.0,0.75,-1.5,0.082
0.375,-0.75,-1.5,-0.102
0.375,-0.375,-1.5,-0.057
0.375,0.0,-1.5,-0.013
0.375,0.375,-1.5,0.033
0.375,0.75,-1.5,0.078
0.75,-0.75,-1.5,-0.117
0.75,-0.375,-1.5,-0.072
0.75,0.0,-1.5,-0.026
0.75,0.375,-1.5,0.019
0.75,0.75,-1.5,0.063
